N_points & Mean_surface & Std_surface & confidence_radius
100 & 1.529947012987013 & 0.18105219001471548 & 0.035486229242884235
1000 & 1.5118444675324676 & 0.0634619909483598 & 0.01243855022587852
10000 & 1.5089202025974027 & 0.018714224173788877 & 0.0036679879380626195
100000 & 1.5079983916883117 & 0.005729687979786801 & 0.001123018844038213
