N_points & Mean_surface & Std_surface & confidence_radius
100 & 1.4889901298701298 & 0.1761090996924963 & 0.034517383539729274
1000 & 1.512617350649351 & 0.059467267152821676 & 0.01165558436195305
10000 & 1.5088528727272728 & 0.019105454122217348 & 0.0037446690079546
100000 & 1.5102700483116882 & 0.005739573853599915 & 0.0011249564753055834
