N_points,Mean_surface,Std_surface,confidence_radius
100,1.503785974025974,0.1864773758939408,0.0365495656752124
1000,1.515986857142857,0.05543676700547111,0.010865606333072337
10000,1.5162472623376624,0.01968551842214351,0.0038583616107401276
100000,1.51429052,0.004753673092173604,0.0009317199260660263
