Iterations & N_points & Mean_surface & Std_surface & Confidence_radiusIterations & N_points & Mean_surface & Std_surface & Confidence_radius
100 & 100 & 1.5493852429111308 & 0.02995800715239705 & 0.005871769401869822
100 & 961 & 1.5484234682929392 & 0.004621662274674301 & 0.000905845805836163
100 & 10000 & 1.5468479803221173 & 0.0006762036273986017 & 0.00013253591097012592
500 & 100 & 1.5299239652171204 & 0.03129160011925644 & 0.0061331536233742625
500 & 961 & 1.5136608710945774 & 0.00462781345099578 & 0.000907051436395173
500 & 10000 & 1.5139331414449526 & 0.0007093715883444363 & 0.0001390368313155095
1000 & 100 & 1.523122379649353 & 0.02943650333609148 & 0.00576955465387393
1000 & 961 & 1.508390811688497 & 0.004648349738189328 & 0.0009110765486851082
1000 & 10000 & 1.510000893673228 & 0.0005963032124220396 & 0.00011687542963471976
2500 & 100 & 1.5318157403123707 & 0.02860961365887064 & 0.005607484277138646
2500 & 961 & 1.5094200864405056 & 0.004828629143361902 & 0.0009464113120989327
2500 & 10000 & 1.507935468652361 & 0.0006203751143170278 & 0.00012159352240613745
