N_points & Mean_surface & Std_surface & confidence_radius
100 & 1.4911479999999997 & 0.21785227769293578 & 0.04269904642781541
1000 & 1.5036683999999996 & 0.0638426759577009 & 0.012513164487709377
10000 & 1.50982464 & 0.022462797480064675 & 0.004402708306092676
100000 & 1.5104465919999996 & 0.006813383651016271 & 0.001335423195599189
