N_points,Mean_surface,Std_surface
400.0,1.536,0.11208925015361644
200.0,1.5285000000000002,0.1132375821006436
133.0,1.5090225563909774,0.10135327190373371
100.0,1.566,0.19058856209122313
80.0,1.46625,0.16849981453995724
