N_points & Mean_surface & Std_surface & confidence_radius
100 & 1.4915999999999996 & 0.21639426240083168 & 0.04241327543056301
1000 & 1.5097703999999998 & 0.06826840173784648 & 0.013380606740617912
10000 & 1.5046808799999996 & 0.022423739588784023 & 0.004395052959401668
100000 & 1.5083145079999993 & 0.007402971565711707 & 0.0014509824268794946
